timestamp,status,category,severity,owasp,mitre_id,mitre_name,mitre_tactic,cvss_score,cvss_vector,detail,request
2026-07-10T20:33:36Z,VULNERABLE,API Discovery,Low,API8:2023 — Security Misconfiguration,T1592,Gather Victim Host Information,Reconnaissance,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,"No OpenAPI spec found at any of 12 common paths — API surface is undocumented, making security review harder.",GET http://localhost:3001/swagger.json (and 11 other paths)
2026-07-10T20:33:36Z,VULNERABLE,Missing Auth,Info,API2:2023 — Broken Authentication,T1078,Valid Accounts,Defense Evasion / Persistence,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,/api/health returns 200 with no token (intentionally public — accepted risk),GET http://localhost:3001/api/health  (no Authorization header)
2026-07-10T20:33:36Z,SAFE,BOLA/IDOR,N/A,API1:2023 — Broken Object Level Authorization,T1083,File and Directory Discovery,Discovery,6.5,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,,
2026-07-10T20:33:36Z,SAFE,JWT Attacks,N/A,API2:2023 — Broken Authentication,T1528,Steal Application Access Token,Credential Access,10.0,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,,
2026-07-10T20:33:36Z,SAFE,Mass Assignment,N/A,API6:2023 — Unrestricted Access to Sensitive Business Flows,T1548,Abuse Elevation Control Mechanism,Privilege Escalation,8.1,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,
2026-07-10T20:33:36Z,VULNERABLE,Missing Rate Limiting,Medium,API4:2023 — Unrestricted Resource Consumption,T1110,Brute Force,Credential Access,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,50 rapid login attempts completed with no 429 — brute-force is unrestricted,"POST /api/auth/login x50, wrong credentials, no delay"
2026-07-10T20:33:36Z,VULNERABLE,Missing Header: Content-Security-Policy,High,API8:2023 — Security Misconfiguration,T1059.007,JavaScript (XSS enablement),Execution,4.7,AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N,"'Content-Security-Policy' absent on: /api/health, /api/activities, /api/notifications. Prevents XSS by controlling which scripts the browser can load.",GET http://localhost:3001/api/health  (checking response headers)
2026-07-10T20:33:36Z,VULNERABLE,Missing Header: Permissions-Policy,Low,API8:2023 — Security Misconfiguration,T1185,Browser Session Hijacking,Collection,3.1,AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N,"'Permissions-Policy' absent on: /api/health, /api/activities, /api/notifications. Restricts browser features (camera, mic, geolocation).",GET http://localhost:3001/api/health  (checking response headers)
2026-07-10T20:33:36Z,SAFE,CORS,N/A,API8:2023 — Security Misconfiguration,N/A,Not mapped,N/A,0.0,N/A,,
2026-07-10T20:33:36Z,VULNERABLE,SQL Injection,Critical,API10:2023 — Unsafe Consumption of APIs,T1190,Exploit Public-Facing Application,Initial Access,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,500 error on GET /api/activities with payload in field 'limit',"GET http://localhost:3001/api/activities  limit=""' OR '1'='1"""
2026-07-10T20:33:36Z,VULNERABLE,SQL Injection,Critical,API10:2023 — Unsafe Consumption of APIs,T1190,Exploit Public-Facing Application,Initial Access,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,500 error on GET /api/activities with payload in field 'page',"GET http://localhost:3001/api/activities  page=""' OR '1'='1"""
2026-07-10T20:33:36Z,SAFE,SSRF,N/A,API7:2023 — Server Side Request Forgery,T1090,Proxy,Command and Control,10.0,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,,
2026-07-10T20:33:36Z,SAFE,OAuth / SSO,N/A,API2:2023 — Broken Authentication,T1528,Steal Application Access Token,Credential Access,9.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,,
2026-07-10T20:33:36Z,SAFE,API Versioning,N/A,API9:2023 — Improper Inventory Management,T1190,Exploit Public-Facing Application,Initial Access,0.0,N/A,,
2026-07-10T20:33:36Z,SAFE,Timing Attack — Username Enumeration,N/A,API2:2023 — Broken Authentication,T1110.003,Brute Force: Password Spraying,Credential Access,3.7,AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,,
2026-07-10T20:33:36Z,VULNERABLE,TLS — HTTP Only (localhost),Info,API8:2023 — Security Misconfiguration,T1557,Adversary-in-the-Middle,Collection,4.8,AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,Target is running over HTTP on localhost — expected for development. Ensure production deployment uses HTTPS with a valid certificate.,Scheme check: http://localhost:3001
2026-07-10T20:33:36Z,SAFE,Business Logic,N/A,API3:2023 — Broken Object Property Level Authorization,T1565,Data Manipulation,Impact,0.0,N/A,,
